@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute x numeric
@attribute y numeric
@attribute istSpeed numeric
@attribute istVelX numeric
@attribute istVelY numeric
@attribute istAcc numeric
@attribute size numeric
@attribute avgSpeed numeric
@attribute avgAccel numeric
@attribute stdSpeed numeric
@attribute stdAccel numeric
@attribute timeBeforeDrawing numeric
@attribute timeDrawing numeric
@attribute timeBeforeEval numeric
@attribute selectedX numeric
@attribute selectedY numeric

@data
5931,'2019/05/07 18:01:30:807',17,231,104,0,0,0,0,1,0,0,0,0,1814,0,0,0.296,0.072
5932,'2019/05/07 18:01:30:827',17,231,104,0,0,0,0,2,0,0,0,0,1814,0,0,0.296,0.072
5933,'2019/05/07 18:01:30:886',17,230,104,1,-1,0,0,3,0.333333,0,0.57735,0,1834,0,0,0.296,0.072
5934,'2019/05/07 18:01:30:889',17,225,107,8,-6.859944,4.115966,0.241379,4,2.25,0.060345,3.86221,0.12069,1864,0,0,0.296,0.072
5935,'2019/05/07 18:01:30:907',17,225,107,0,0,0,4,5,1.8,0.848276,3.49285,1.764965,1894,0,0,0.296,0.072
5936,'2019/05/07 18:01:30:925',17,223,108,3,-2.683281,1.341641,3,6,2,1.206897,3.162278,1.806581,1913,0,0,0.296,0.072
5937,'2019/05/07 18:01:30:945',17,220,111,6,-4.242641,4.242641,1.5,7,2.571429,1.248768,3.258688,1.652892,1930,0,0,0.296,0.072
5938,'2019/05/07 18:01:30:963',17,219,113,3,-1.341641,2.683281,1,8,2.625,1.217672,3.020761,1.532806,1950,0,0,0.296,0.072
5939,'2019/05/07 18:01:30:991',17,217,116,5,-2.773501,4.160252,0.666667,9,2.888889,1.15645,2.934469,1.445524,1967,0,0,0.296,0.072
5940,'2019/05/07 18:01:31:012',17,214,128,15,-3.638034,14.552137,5,10,4.1,1.540805,4.72464,1.826105,1996,0,0,0.296,0.072
5941,'2019/05/07 18:01:31:030',17,214,132,4,0,4,2.75,11,4.090909,1.650732,4.482288,1.770343,2015,0,0,0.296,0.072
5942,'2019/05/07 18:01:31:048',17,215,142,11,1.094541,10.94541,1.4,12,4.666667,1.629837,4.716187,1.689507,2033,0,0,0.296,0.072
5943,'2019/05/07 18:01:31:077',17,217,145,5,2.773501,4.160252,2,13,4.692307,1.658311,4.516352,1.620835,2052,0,0,0.296,0.072
5944,'2019/05/07 18:01:31:096',17,221,148,7,5.6,4.2,0.666667,14,4.857143,1.587479,4.382783,1.579639,2081,0,0,0.296,0.072
5945,'2019/05/07 18:01:31:115',17,240,155,26,24.396921,8.988339,6.333333,15,6.266667,1.90387,6.902036,1.954116,2100,0,0,0.296,0.072
5946,'2019/05/07 18:01:31:148',17,258,151,22,21.476116,-4.77247,1.333333,16,7.25,1.868211,7.741662,1.893236,2119,0,0,0.296,0.072
5947,'2019/05/07 18:01:31:181',17,263,147,9,7.027819,-5.622255,3.25,17,7.352941,1.949493,7.507839,1.863501,2151,0,0,0.296,0.072
5948,'2019/05/07 18:01:31:197',17,270,135,19,9.573549,-16.4118,2.5,18,8,1.980077,7.783844,1.812512,2184,0,0,0.296,0.072
5949,'2019/05/07 18:01:31:226',17,269,126,10,-1.104315,-9.938837,3,19,8.105263,2.033757,7.57844,1.776918,2201,0,0,0.296,0.072
5950,'2019/05/07 18:01:31:248',17,268,124,3,-1.341641,-2.683281,3.5,20,7.85,2.107069,7.464125,1.760327,2230,0,0,0.296,0.072
5951,'2019/05/07 18:01:31:278',17,265,122,5,-4.160252,-2.773501,0.666667,21,7.714286,2.038478,7.301663,1.744308,2252,0,0,0.296,0.072
5952,'2019/05/07 18:01:31:302',17,260,121,6,-5.883484,-1.176697,0.25,22,7.636364,1.957184,7.135061,1.744454,2281,0,0,0.296,0.072
5953,'2019/05/07 18:01:31:327',17,260,121,0,0,0,1.2,23,7.304348,1.924263,7.150555,1.711643,2303,0,0,0.296,0.072
5954,'2019/05/07 18:01:31:347',17,253,122,8,-7.919596,1.131371,2,24,7.333333,1.927419,6.994823,1.674091,2330,0,0,0.296,0.072
5955,'2019/05/07 18:01:31:375',17,248,123,6,-5.883484,1.176697,0.666667,25,7.28,1.876989,6.852737,1.658128,2351,0,0,0.296,0.072
5956,'2019/05/07 18:01:31:396',17,241,125,9,-8.653715,2.47249,1.5,26,7.346154,1.862489,6.722751,1.626308,2380,0,0,0.296,0.072
5957,'2019/05/07 18:01:31:415',17,238,127,5,-4.160252,2.773501,1,27,7.259259,1.830545,6.607645,1.603341,2399,0,0,0.296,0.072
5958,'2019/05/07 18:01:31:445',17,235,129,5,-4.160252,2.773501,0,28,7.178571,1.765168,6.498168,1.610952,2418,0,0,0.296,0.072
5959,'2019/05/07 18:01:31:464',17,232,134,8,-4.115966,6.859944,0.75,29,7.206897,1.730163,6.382897,1.593116,2448,0,0,0.296,0.072
5960,'2019/05/07 18:01:31:494',17,231,136,3,-1.341641,2.683281,1.25,30,7.066667,1.714157,6.318737,1.56786,2468,0,0,0.296,0.072
5961,'2019/05/07 18:01:31:516',17,228,143,10,-3.939193,9.19145,2.333333,31,7.16129,1.734131,6.234831,1.545514,2498,0,0,0.296,0.072
5962,'2019/05/07 18:01:31:544',17,228,146,3,0,3,1.4,32,7.03125,1.723689,6.177401,1.521529,2518,0,0,0.296,0.072
5963,'2019/05/07 18:01:31:566',17,227,153,8,-1.131371,7.919596,1.25,33,7.060606,1.709335,6.082451,1.499835,2547,0,0,0.296,0.072
5964,'2019/05/07 18:01:31:600',17,227,156,3,0,3,1.25,34,6.941176,1.695825,6.029932,1.479034,2569,0,0,0.296,0.072
5965,'2019/05/07 18:01:31:631',17,229,165,11,2.386235,10.738058,2,35,7.057143,1.704516,5.98008,1.458028,2603,0,0,0.296,0.072
5966,'2019/05/07 18:01:31:665',17,237,188,31,10.184139,29.279402,5,36,7.722222,1.796057,7.11783,1.538435,2635,0,0,0.296,0.072
